,city,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
85,payo,,,296.77,94,86,1.38,ID,1626967313,-3.7508,103.6372
86,lompoc,,,294.87,83,90,2.57,US,1626967313,34.6391,-120.4579
87,faanui,,,298.89,74,7,6.44,PF,1626967313,-16.4833,-151.75
88,antalaha,,,294.82,79,0,5.2,MG,1626967313,-14.9003,50.2788
89,bengkulu,,,298.05,83,27,1.64,ID,1626967314,-3.8004,102.2655
90,dibaya,,,,,,,,,,
91,tonantins,,,302.95,50,55,1.98,BR,1626967314,-2.8731,-67.8022
92,avarua,,,293.18,100,16,0.51,CK,1626967314,-21.2078,-159.775
93,vestmannaeyjar,,,285.7,94,90,8.75,IS,1626967315,63.4427,-20.2734
94,dubbo,,,280.22,81,90,2.06,AU,1626967315,-32.25,148.6167
95,celestun,,,303.13,63,1,4.99,MX,1626967315,20.8667,-90.4
96,saint george,,,305.01,47,1,0.45,US,1626967257,37.1041,-113.5841
97,bambous virieux,,,295.29,68,40,5.66,MU,1626967316,-20.3428,57.7575
98,cape town,,,285.99,66,40,0.89,ZA,1626967015,-33.9258,18.4232
99,lavrentiya,,,275.99,94,100,2.26,RU,1626967316,65.5833,-171.0
100,laguna,,,300.62,68,1,1.34,US,1626967044,38.421,-121.4238
101,meulaboh,,,299.61,80,100,0.9,ID,1626967316,4.1363,96.1285
102,hobart,,,284.41,60,90,0.89,AU,1626967317,-42.8794,147.3294
103,shingu,,,298.66,94,45,2.56,JP,1626967317,33.7333,135.9833
104,narsaq,,,285.27,60,34,1.98,GL,1626967317,60.9167,-46.05
105,bullhead city,,,309.1,50,75,2.57,US,1626967062,35.1478,-114.5683
106,paamiut,,,279.26,92,98,6.89,GL,1626967317,61.994,-49.6678
107,mahebourg,,,295.31,68,40,5.66,MU,1626967318,-20.4081,57.7
108,chuy,,,287.03,62,16,3.42,UY,1626967318,-33.6971,-53.4616
109,geraldton,,,284.38,93,3,3.09,AU,1626967159,-28.7667,114.6
110,mar del plata,,,285.86,59,0,7.15,AR,1626967148,-38.0023,-57.5575
111,hohhot,,,296.31,68,0,2,CN,1626967318,40.8106,111.6522
112,nhamunda,,,305.87,50,49,2.3,BR,1626967319,-2.1861,-56.7131
113,terme,,,297.11,70,88,4.08,TR,1626967319,41.2092,36.9739
114,bonoua,,,300.94,64,85,4.27,CI,1626967319,5.2741,-3.595
115,carnarvon,,,287.19,66,1,3.09,AU,1626967084,-24.8667,113.6333
116,warri,,,299.46,72,100,3.1,NG,1626967320,5.5167,5.75
117,arman,,,284.21,97,100,1.68,RU,1626967320,59.7,150.1667
118,east london,,,284.67,54,20,13.38,ZA,1626967320,-33.0153,27.9116
119,gazimurskiy zavod,,,291.46,97,49,1.91,RU,1626967321,51.5461,118.3266
120,saskylakh,,,288.73,60,89,6.91,RU,1626967321,71.9167,114.0833
121,lewiston,,,297.21,66,1,3.6,US,1626967321,44.1003,-70.2148
122,leningradskiy,,,275.42,81,55,1.25,RU,1626967322,69.3833,178.4167
123,esperance,,,283.74,71,22,7.09,AU,1626967322,-33.8667,121.9
124,riviere-au-renard,,,289.31,92,98,4.22,CA,1626967322,48.9957,-64.3971
125,coquimbo,,,284,87,90,2.57,CL,1626967323,-29.9533,-71.3436
126,pullman,,,290.92,56,1,0.89,US,1626967202,46.7313,-117.1796
127,kurilsk,,,286.98,89,100,2.63,RU,1626967323,45.2333,147.8833
128,kirkuk,,,312.43,13,0,5.31,IQ,1626967143,35.4681,44.3922
129,cidreira,,,289.27,64,6,5.62,BR,1626967323,-30.1811,-50.2056
130,kenai,,,285.45,94,90,4.12,US,1626967262,60.5544,-151.2583
131,maningrida,,,294.96,91,12,2.19,AU,1626967324,-12.0667,134.2667
132,thinadhoo,,,300.96,74,100,4.02,MV,1626967116,0.5333,72.9333
133,tommot,,,288.56,95,95,1.37,RU,1626967324,58.9564,126.2925
134,north vernon,,,298.05,66,21,1.98,US,1626967325,39.0062,-85.6236
135,thompson,,,294.24,68,90,2.06,CA,1626967325,55.7435,-97.8558
136,sao joao da barra,,,298.2,66,92,2.52,BR,1626967325,-21.6403,-41.0511
137,mecca,,,308.46,30,60,5.11,SA,1626967164,21.4267,39.8261
138,benguela,,,297.42,70,27,3.67,AO,1626967325,-12.5763,13.4055
139,castro,,,291.1,40,0,2.86,BR,1626967326,-24.7911,-50.0119
140,manati,,,305.85,74,21,6.9,PR,1626967163,18.4275,-66.4921
141,bethel,,,299.13,66,1,0.45,US,1626967326,41.3712,-73.414
142,puerto penasco,,,306.14,72,40,5.81,MX,1626967326,31.3167,-113.5333
143,yellowknife,,,290,93,100,3.58,CA,1626967229,62.456,-114.3525
144,nizhneyansk,,,,,,,,,,
145,bredasdorp,,,284.77,58,61,3.09,ZA,1626967327,-34.5322,20.0403
146,bilibino,,,283.87,47,99,1.71,RU,1626967327,68.0546,166.4372
147,cabo san lucas,,,306.21,61,1,0.89,MX,1626967327,22.8909,-109.9124
148,tartus,,,302.31,70,21,6.27,SY,1626967328,34.889,35.8866
149,mumford,,,299.27,74,78,5.99,GH,1626967328,5.2618,-0.759
150,najran,,,299.51,33,79,1.97,SA,1626967328,17.4924,44.1277
151,yumaguzino,,,298.79,58,79,1.02,RU,1626967328,52.9041,56.3933
152,gilgil,,,,,,,,,,
153,ostrovnoy,,,280.69,87,100,6.95,RU,1626967329,68.0531,39.5131
154,atambua,,,293,83,1,1.58,ID,1626967329,-9.1061,124.8925
155,tuktoyaktuk,,,283.15,100,90,6.69,CA,1626967329,69.4541,-133.0374
156,aksha,,,290.3,91,98,3.67,RU,1626967330,50.2814,113.2867
157,jishui,,,298.04,86,90,2.73,CN,1626967330,33.7333,115.4
158,lubumbashi,,,299.75,22,0,2.37,CD,1626967330,-11.6609,27.4794
159,airai,,,286.13,62,0,0.83,TL,1626967330,-8.9266,125.4092
160,basco,,,301.7,86,100,15.55,PH,1626967331,20.4487,121.9702
161,zheleznodorozhnyy,,,294.9,32,12,4.35,RU,1626967331,55.7503,38.0042
162,taoudenni,,,320.81,7,54,6.59,ML,1626967331,22.6783,-3.9836
163,bucerias,,,304.25,74,40,0,MX,1626967332,20.75,-105.3333
164,caceres,,,309.15,9,0,4.93,ES,1626967332,39.522,-6.3748
165,chingirlau,,,307.9,26,63,5.96,KZ,1626967332,51.095,54.0814
166,talnakh,,,288.47,94,100,8.72,RU,1626967333,69.4865,88.3972
167,naze,,,297.95,90,100,11.8,JP,1626967333,28.3667,129.4833
168,constitucion,,,287.73,73,100,1.8,CL,1626967333,-35.3333,-72.4167
169,namtsy,,,290.21,67,0,1.21,RU,1626967333,62.7161,129.6658
170,miraflores,,,290.38,75,39,0.83,MX,1626967334,19.2167,-98.8083
171,victoria,,,303.12,82,38,0.89,HK,1626967309,22.2855,114.1577
172,lorengau,,,300.57,80,45,3.04,PG,1626967334,-2.0226,147.2712
173,jamestown,,,295.77,69,20,1.34,US,1626967334,42.097,-79.2353
174,hermanus,,,285.32,64,72,3.92,ZA,1626967335,-34.4187,19.2345
175,biograd na moru,,,303.54,42,81,6.8,HR,1626967335,43.9433,15.4519
176,cururupu,,,304.32,48,86,3.94,BR,1626967335,-1.8283,-44.8683
177,saint-georges,,,303.97,70,20,8.75,GD,1626967336,12.0564,-61.7485
178,basar,,,297.94,86,4,0.46,IN,1626967336,27.9833,94.6667
179,port macquarie,,,281.98,100,97,0.51,AU,1626967336,-31.4333,152.9167
180,yulara,,,285.06,50,3,4.12,AU,1626967337,-25.2406,130.9889
181,pangnirtung,,,281.15,81,90,6.69,CA,1626967337,66.1451,-65.7125
182,roebourne,,,296.44,36,6,4.81,AU,1626967337,-20.7833,117.1333
183,benidorm,,,311.97,62,0,2.56,ES,1626967046,38.5382,-0.131
184,barentsburg,,,,,,,,,,
185,chumikan,,,288.96,91,31,0.31,RU,1626967338,54.7183,135.315
186,gigmoto,,,300.81,83,100,5.77,PH,1626967338,13.7796,124.39
187,buraydah,,,317.4,8,85,7.45,SA,1626967338,26.326,43.975
188,skerries,,,303.12,57,100,3.13,IE,1626967338,53.5828,-6.1083
189,cherskiy,,,286.42,63,100,1.79,RU,1626967339,68.75,161.3
190,vao,,,293.94,74,0,3.64,NC,1626967339,-22.6667,167.4833
191,berlevag,,,280.15,81,75,12.86,NO,1626967339,70.8578,29.0864
192,wewak,,,299.76,84,92,3.93,PG,1626967339,-3.5534,143.6268
193,orodara,,,298.36,69,100,2.79,BF,1626967340,10.9492,-4.9342
194,tumannyy,,,,,,,,,,
195,umzimvubu,,,,,,,,,,
196,vardo,,,281.26,70,96,12.54,NO,1626967340,70.3705,31.1107
197,san patricio,,,302.2,81,95,0.97,US,1626967341,28.017,-97.5169
198,soubre,,,300.94,71,86,1.99,CI,1626967341,5.7856,-6.6083
199,belushya guba,,,,,,,,,,
200,cayenne,,,303.76,78,40,1.34,GF,1626967341,4.9333,-52.3333
201,ribeira grande,,,297.37,60,40,6.17,PT,1626967341,38.5167,-28.7
202,duartina,,,298.79,16,0,3.91,BR,1626967342,-22.4144,-49.4039
203,celendin,,,291.44,54,9,1.94,PE,1626967342,-6.8703,-78.1517
204,puerto escondido,,,303.61,70,1,0,MX,1626967342,15.85,-97.0667
205,farsala,,,305.07,32,10,5.62,GR,1626967343,39.2947,22.3847
206,kununurra,,,288.14,77,36,0,AU,1626967343,-15.7667,128.7333
207,kattivakkam,,,300.2,62,100,7.22,IN,1626967343,13.2167,80.3167
208,saint-louis,,,302.95,20,15,6.03,SN,1626967343,16.3333,-15.0
209,severo-kurilsk,,,282.91,95,60,2.03,RU,1626967344,50.6789,156.125
210,luderitz,,,292.14,37,4,10.9,NA,1626967344,-26.6481,15.1594
211,iqaluit,,,283,71,75,7.15,CA,1626967344,63.7506,-68.5145
212,amderma,,,,,,,,,,
213,klaksvik,,,285.66,95,55,1.82,FO,1626967345,62.2266,-6.589
214,shamkhal,,,304.14,40,100,2.36,RU,1626967345,43.0596,47.3373
215,san vicente,,,297.22,28,0,1.53,AR,1626967345,-26.6167,-54.1333
216,chadan,,,294.44,66,100,2.02,RU,1626967345,51.2833,91.5833
217,inuvik,,,285.63,94,90,3.6,CA,1626967346,68.3499,-133.7218
218,nome,,,277.68,87,20,1.54,US,1626967346,64.5011,-165.4064
219,micheweni,,,298.52,71,10,5.03,TZ,1626967346,-4.9667,39.8333
220,khatanga,,,286.9,80,83,3.08,RU,1626967347,71.9667,102.5
221,arraial do cabo,,,296.13,68,40,3.6,BR,1626967347,-22.9661,-42.0278
222,ahipara,,,285.01,87,2,2.28,NZ,1626967347,-35.1667,173.1667
223,dengzhou,,,297.72,84,98,2.47,CN,1626967347,37.8086,120.7508
224,soe,,,288.39,71,12,1.88,ID,1626967348,-9.8607,124.284
225,skibbereen,,,299.04,65,100,6.31,IE,1626967348,51.55,-9.2667
226,krasnoselkup,,,290.28,79,74,3.34,RU,1626967348,65.7,82.4667
227,tiksi,,,277.45,85,100,1.87,RU,1626967349,71.6872,128.8694
228,fort nelson,,,286.92,88,90,4.12,CA,1626967331,58.8053,-122.7002
229,derac,,,302.12,50,39,4.17,HT,1626967349,19.65,-71.8167
230,longyearbyen,,,282.06,57,75,7.2,SJ,1626967244,78.2186,15.6401
231,aranda de duero,,,309.25,10,0,7.69,ES,1626967349,41.6704,-3.6892
232,tasiilaq,,,281.24,98,100,5.36,GL,1626967349,65.6145,-37.6368
233,marzuq,,,302.96,47,74,3.94,YE,1626967350,14.4,46.4667
234,tabiauea,,,,,,,,,,
235,caravelas,,,298.38,56,60,3.85,BR,1626967350,-17.7125,-39.2481
236,port-cartier,,,291.27,74,98,0.35,CA,1626967350,50.0334,-66.8654
237,shimoda,,,297.65,86,22,0.76,JP,1626967351,34.6667,138.95
238,hollins,,,299.6,60,20,3.09,US,1626967351,37.3413,-79.9431
239,saint-ambroise,,,294.45,65,100,0.76,CA,1626967351,48.5501,-71.3324
240,silver city,,,299.08,39,40,0,US,1626967255,32.7701,-108.2803
241,pasighat,,,301.51,79,13,1.74,IN,1626967352,28.0667,95.3333
242,frutigen,,,301.56,46,21,2.57,CH,1626967352,46.5878,7.6475
243,san fernando,,,300.35,96,100,2.72,PH,1626967352,15.0286,120.6898
244,muriti,,,304.21,49,1,2.79,TZ,1626967352,-1.9833,32.9167
245,san cristobal,,,299.25,86,98,2.56,VE,1626967353,7.7669,-72.225
246,choix,,,300.49,63,96,1.16,MX,1626967353,26.7092,-108.3219
247,kruisfontein,,,279.75,71,100,9.32,ZA,1626967353,-34.0033,24.7314
248,coro,,,302.61,67,92,7.42,VE,1626967354,11.4045,-69.6734
249,kang,,,287.29,9,0,4.51,BW,1626967354,-23.6752,22.7876
250,amapa,,,301.69,65,47,1.96,BR,1626967354,1.0,-52.0
251,havelock,,,303.14,76,1,3.58,US,1626967354,34.8791,-76.9013
252,varnavino,,,293.79,36,9,4.52,RU,1626967355,57.4035,45.0916
253,namibe,,,297.82,48,0,4.63,AO,1626967355,-15.1961,12.1522
254,samalaeulu,,,,,,,,,,
255,camacha,,,296.83,73,20,7.2,PT,1626967355,33.0833,-16.3333
256,karratha,,,296.25,35,6,4.54,AU,1626967356,-20.7377,116.8463
257,jacareacanga,,,307.94,35,5,1.51,BR,1626967356,-6.2222,-57.7528
258,margate,,,299.75,69,0,0.89,GB,1626967356,51.3813,1.3862
259,aykhal,,,290.2,52,74,2.4,RU,1626967356,66.0,111.5
260,gravelbourg,,,298.3,47,16,3.32,CA,1626967357,49.8834,-106.5512
261,gazanjyk,,,312.39,10,0,7.01,TM,1626967357,39.2446,55.5154
262,zhigansk,,,289.27,87,99,3.3,RU,1626967357,66.7697,123.3711
263,svetlogorsk,,,296.45,39,3,4.29,BY,1626967358,52.6333,29.7333
264,provideniya,,,279.19,77,100,1.48,RU,1626967358,64.3833,-173.3
265,hofn,,,288.16,77,20,8.23,IS,1626967358,64.2539,-15.2082
266,richards bay,,,290.23,38,24,5.74,ZA,1626967358,-28.783,32.0377
267,muros,,,297.03,82,93,2.68,ES,1626967359,42.7762,-9.0603
268,port lavaca,,,302.03,86,1,0,US,1626967359,28.615,-96.6261
269,bonavista,,,285.44,86,100,4.84,CA,1626967359,48.6499,-53.1147
270,touros,,,302.65,61,94,9.36,BR,1626967360,-5.1989,-35.4608
271,bangad,,,297.36,98,100,1.41,PH,1626967360,15.5036,121.0275
272,toliary,,,,,,,,,,
273,nanortalik,,,280.36,85,50,5.95,GL,1626967360,60.1432,-45.2371
274,ulladulla,,,280.42,64,100,2.34,AU,1626967361,-35.35,150.4667
275,bambanglipuro,,,298.06,80,83,4.36,ID,1626967361,-7.95,110.2833
276,lata,,,301.2,49,3,4.89,PT,1626967361,40.1629,-8.3327
277,kodiak,,,284.49,98,100,4.13,US,1626967361,57.79,-152.4072
278,padilla,,,298.91,54,100,1.28,CO,1626967362,3.2204,-76.3139
279,khani,,,292.91,99,97,1.16,GE,1626967362,41.9563,42.9566
280,sandnessjoen,,,285.14,82,75,3.09,NO,1626967362,66.0217,12.6316
281,marawi,,,296.84,89,100,2.86,PH,1626967362,7.9986,124.2928
282,mangrol,,,301.55,86,100,8.77,IN,1626967363,21.1167,70.1167
283,mayo,,,300.43,55,1,4.02,US,1626967363,38.8876,-76.5119
284,itoman,,,300.58,94,75,11.83,JP,1626967363,26.1247,127.6694
285,port ellen,,,,,,,,,,
286,mtwara,,,299.78,69,20,6.17,TZ,1626967364,-10.2667,40.1833
287,adrar,,,313.85,8,98,3.71,MR,1626967364,20.5022,-10.0711
288,ossora,,,285.72,82,94,0.89,RU,1626967364,59.2353,163.0719
289,brunico,,,297.08,70,66,1.02,IT,1626967364,46.7958,11.9364
290,inongo,,,299.95,38,46,0.45,CD,1626967365,-1.95,18.2667
291,conceicao do araguaia,,,306.22,35,0,6.17,BR,1626967365,-8.2578,-49.2647
292,kushiro,,,290.24,97,97,1.99,JP,1626967365,42.975,144.3747
293,birin,,,292.68,86,71,2.08,NP,1626967366,26.8865,88.0718
294,te anau,,,275.54,92,32,0.3,NZ,1626967366,-45.4167,167.7167
295,taos,,,295.49,67,1,0.89,US,1626967279,36.4072,-105.5731
296,luwuk,,,297.29,92,100,2.82,ID,1626967366,-0.9516,122.7875
297,lamu,,,299.27,73,62,7.08,KE,1626967366,-2.2717,40.902
298,karabulak,,,304.46,87,99,2.29,RU,1626967367,43.3036,44.8964
299,takoradi,,,299.82,72,100,5.27,GH,1626967367,4.8845,-1.7554
300,souillac,,,295.36,68,40,5.66,MU,1626967367,-20.5167,57.5167
301,brooks,,,296.5,63,0,1.54,CA,1626967368,50.5834,-111.8851
302,tignere,,,295.24,89,100,1.33,CM,1626967368,7.3667,12.65
303,usinsk,,,286.88,45,95,4.92,RU,1626967368,65.9939,57.5281
304,alekseyevka,,,295.83,47,100,7.3,RU,1626967368,50.6309,38.6903
305,burnie,,,284.77,82,100,6.7,AU,1626967369,-41.0667,145.9167
306,tarakan,,,301.87,89,20,1.03,ID,1626967369,3.3,117.6333
307,kaitangata,,,279.22,78,4,2.66,NZ,1626967322,-46.2817,169.8464
308,la ligua,,,284.03,47,69,1.4,CL,1626967369,-32.4524,-71.2311
309,chanika,,,293.54,83,96,2.13,TZ,1626967370,-5.4167,38.0167
310,nishihara,,,300.18,94,90,11.83,JP,1626967370,26.1842,127.7558
311,duki,,,304.5,27,83,1.39,PK,1626967370,30.1541,68.5728
312,pirmasens,,,300.26,49,2,2.64,DE,1626967370,49.2015,7.6053
313,santa maria do para,,,302.74,67,51,4.39,BR,1626967371,-1.3503,-47.5756
314,ayan,,,291.06,79,8,2.56,RU,1626967371,56.45,138.1667
315,abha,,,293.05,83,40,2.06,SA,1626967371,18.2164,42.5053
316,sao gabriel da cachoeira,,,300.04,89,40,1.54,BR,1626967372,-0.1303,-67.0892
317,la mesa,,,300.15,83,90,0.89,US,1626967336,32.7678,-117.0231
318,enterprise,,,307.25,40,75,0.89,US,1626967372,36.0252,-115.2419
319,thunder bay,,,294.25,70,75,5.14,CA,1626967372,48.4001,-89.3168
320,cognac,,,306.29,29,0,3.6,FR,1626967373,45.5,-0.25
321,santa barbara,,,302.12,29,41,0.54,US,1626967257,34.7333,-120.0343
322,vitim,,,294.33,61,61,2.22,RU,1626967373,59.4511,112.5578
323,yusva,,,,,,,,,,
324,palabuhanratu,,,,,,,,,,
325,biak,,,296.73,89,100,3.68,ID,1626967373,-0.9131,122.8766
326,morant bay,,,304.05,74,96,4.95,JM,1626967374,17.8815,-76.4093
327,bhor,,,295.26,96,100,5.39,IN,1626967374,18.1667,73.85
328,amahai,,,297.62,90,98,1.89,ID,1626967374,-3.3333,128.9167
329,sisimiut,,,279.61,91,100,2.03,GL,1626967374,66.9395,-53.6735
330,baringo,,,300.27,50,56,3.2,KE,1626967375,0.4667,35.9667
331,marica,,,299.09,67,0,1.16,BR,1626967375,-22.9194,-42.8186
332,orje,,,302.02,43,0,3.86,NO,1626967375,59.4802,11.6602
333,ambilobe,,,296.19,46,2,2.5,MG,1626967375,-13.2,49.05
334,kefalovrison,,,,,,,,,,
335,warmbad,,,285.48,28,0,3.78,NA,1626967376,-28.45,18.7333
336,sola,,,300.34,74,15,5.58,VU,1626967376,-13.8833,167.55
337,awbari,,,310.71,12,0,4.65,LY,1626967377,26.5921,12.7805
338,asandh,,,303.42,67,100,3.85,IN,1626967377,29.5167,76.6
339,dingle,,,298.64,82,100,5.74,PH,1626967377,10.9995,122.6711
340,progreso,,,302.65,67,5,4.77,MX,1626967377,21.2833,-89.6667
341,araxa,,,298.13,36,0,3.09,BR,1626967378,-19.5933,-46.9406
342,champerico,,,305.22,69,25,1.72,GT,1626967378,14.3,-91.9167
343,chokwe,,,296.4,17,0,2.73,MZ,1626967378,-24.5333,32.9833
344,tual,,,299.61,80,62,7.21,ID,1626967378,-5.6667,132.75
345,freeport,,,300.35,57,1,0.45,US,1626967143,40.6576,-73.5832
346,college,,,290.87,72,75,1.54,US,1626967188,64.8569,-147.8028
347,banda aceh,,,300.3,79,61,5.82,ID,1626967318,5.5577,95.3222
348,samusu,,,,,,,,,,
349,kaeo,,,282.22,95,10,1.52,NZ,1626967379,-35.1,173.7833
350,miri,,,298.23,94,40,1.54,MY,1626967379,4.4148,114.0089
351,banjar,,,300.07,90,11,2.31,ID,1626967380,-8.19,114.9675
352,japura,,,299.5,79,100,1.34,ID,1626967380,-0.3167,102.35
353,punta alta,,,288.08,47,100,5.68,AR,1626967380,-38.8759,-62.0736
354,sorland,,,282.07,83,99,5.8,NO,1626967380,67.667,12.6934
355,bohicon,,,300.79,65,100,3.66,BJ,1626967381,7.1783,2.0667
356,inirida,,,298.91,89,82,1.65,CO,1626967381,3.8653,-67.9239
357,assiniboia,,,298.1,50,45,2.57,CA,1626967381,49.6334,-105.9845
358,vaitupu,,,,,,,,,,
359,magan,,,311.9,11,0,5.36,ES,1626967382,39.9683,-3.931
360,saleaula,,,,,,,,,,
361,qaqortoq,,,285.43,72,34,2.91,GL,1626967382,60.7167,-46.0333
362,port hawkesbury,,,292.92,97,90,2.24,CA,1626967382,45.6169,-61.3485
363,luanda,,,297.15,78,20,4.63,AO,1626967265,-8.8368,13.2343
364,abhar,,,307.07,18,8,6.07,IR,1626967383,36.1468,49.218
365,inhambane,,,297.14,60,20,4.12,MZ,1626967383,-23.865,35.3833
366,bafq,,,311.01,9,7,6.06,IR,1626967383,31.6128,55.4107
