,city,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
367,catuday,,,299.13,90,100,7.36,PH,1626967384,16.2923,119.8062
368,quelimane,,,298.12,88,40,4.12,MZ,1626967384,-17.8786,36.8883
369,gayeri,,,307.16,37,97,4.55,BF,1626967384,12.6497,0.4931
370,tingi,,,292.77,62,89,1.59,TZ,1626967384,-11.3,35.0333
371,challapata,,,283.92,26,0,1.06,BO,1626967385,-18.9,-66.7667
372,bodinayakkanur,,,297.47,79,100,4.6,IN,1626967385,10.0167,77.35
373,lethem,,,303.6,62,19,1.78,GY,1626967385,3.3803,-59.7968
374,teluk nibung,,,299.58,88,100,0.84,ID,1626967387,3.001,99.8164
375,nenjiang,,,295.17,93,35,2.42,CN,1626967387,49.1833,125.2167
376,alanya,,,304.53,54,11,0.84,TR,1626967387,36.5438,31.9998
377,aflu,,,,,,,,,,
378,gat,,,303.37,39,0,5.09,IL,1626967262,31.61,34.7642
379,aklavik,,,285.61,94,75,9.26,CA,1626967388,68.2191,-135.0107
380,sam chuk,,,301.4,77,99,3.42,TH,1626967388,14.7576,100.0899
381,rabak,,,303.73,50,76,6.34,SD,1626967388,13.1809,32.74
382,the valley,,,303.07,74,20,8.23,AI,1626967375,18.217,-63.0578
383,sherlovaya gora,,,289.1,93,100,2.74,RU,1626967389,50.5667,116.25
384,canmore,,,288.84,76,0,0.51,CA,1626967389,51.0834,-115.3521
385,nemuro,,,290.08,92,99,5.15,JP,1626967389,43.3236,145.575
386,clyde river,,,277.28,100,90,2.57,CA,1626967389,70.4692,-68.5914
387,evensk,,,282.36,97,100,2.62,RU,1626967390,61.95,159.2333
388,taburi,,,,,,,,,,
389,santa rosalia,,,302.35,68,60,2.33,MX,1626967390,27.3167,-112.2833
390,kalmunai,,,302.65,56,100,5.26,LK,1626967391,7.4167,81.8167
391,pak thong chai,,,298.32,86,100,2.62,TH,1626967391,14.7226,102.0251
392,hirara,,,300.69,91,100,29.51,JP,1626967391,24.8,125.2833
393,batagay-alyta,,,284.96,62,94,0.78,RU,1626967391,67.8006,130.4114
394,broken hill,,,280.19,76,98,5.77,AU,1626967392,-31.95,141.4333
395,jackson,,,291.56,60,1,0,US,1626967139,42.4165,-122.8345
396,indramayu,,,300.58,76,55,3.75,ID,1626967392,-6.3264,108.32
397,bintulu,,,298.38,94,20,0,MY,1626967339,3.1667,113.0333
398,catio,,,303.53,62,96,5.86,GW,1626967392,11.2833,-15.25
399,sobolevo,,,294.94,43,6,3.98,RU,1626967291,54.4299,31.8996
400,dryden,,,291.31,82,90,3.6,CA,1626967393,49.7833,-92.7503
401,nyurba,,,290.55,76,99,0.97,RU,1626967393,63.2842,118.3319
402,grindavik,,,286.79,100,90,9.26,IS,1626967393,63.8424,-22.4338
403,norrtalje,,,300.5,47,47,4.7,SE,1626967394,59.758,18.705
404,gordeyevka,,,294.68,46,0,4.38,RU,1626967394,52.9569,31.9703
405,koumac,,,292.7,80,9,3.02,NC,1626967394,-20.5667,164.2833
406,guerrero negro,,,295.55,75,7,3.98,MX,1626967394,27.9769,-114.0611
407,itaituba,,,307.24,62,40,1.54,BR,1626967395,-4.2761,-55.9836
408,alghero,,,304.2,48,0,4.63,IT,1626967395,40.5589,8.3181
409,kem,,,288.12,56,100,3.27,RU,1626967395,64.9555,34.5793
410,puerto quijarro,,,305.93,12,0,2.39,BO,1626967396,-17.7833,-57.7667
411,bloomingdale,,,306.58,74,75,0.45,US,1626967396,27.8936,-82.2404
412,bikin,,,299.57,72,97,0.63,RU,1626967396,46.8161,134.26
413,pitimbu,,,299.48,68,22,8.47,BR,1626967396,-7.4706,-34.8086
414,almenara,,,301.54,41,19,2.38,BR,1626967397,-16.1836,-40.6944
415,popondetta,,,296.15,95,86,0.81,PG,1626967397,-8.7537,148.2534
416,parabel,,,295.22,59,100,2.73,RU,1626967397,58.6978,81.4825
417,neuquen,,,282.09,76,0,2.06,AR,1626967398,-38.9516,-68.0591
418,bogalusa,,,304.46,62,75,0,US,1626967398,30.791,-89.8487
419,tiznit,,,312.86,13,47,2.46,MA,1626967398,29.5833,-9.5
420,katsuura,,,300.43,84,41,2.81,JP,1626967398,35.1333,140.3
421,teknaf,,,300.47,88,100,8.93,BD,1626967399,20.8624,92.3058
422,nhulunbuy,,,295.49,88,27,2.06,AU,1626967399,-12.2333,136.7667
423,devarkonda,,,295.91,91,100,8.61,IN,1626967399,16.7,78.9333
424,perpignan,,,310.93,45,0,4.63,FR,1626967400,42.75,2.75
425,rio grande,,,289.23,56,12,4.58,BR,1626967400,-32.035,-52.0986
426,chernyshevskiy,,,289.05,69,100,1.57,RU,1626967400,63.0128,112.4714
427,waingapu,,,295.98,82,26,2.3,ID,1626967400,-9.6567,120.2641
428,cabedelo,,,299.52,72,37,9.16,BR,1626967401,-6.9811,-34.8339
429,tilichiki,,,284.88,72,100,0.27,RU,1626967401,60.4667,166.1
430,bathsheba,,,303.49,70,40,9.77,BB,1626967401,13.2167,-59.5167
431,maceio,,,300.84,61,75,6.17,BR,1626967401,-9.6658,-35.7353
432,varadero,,,302.57,72,8,4.12,CU,1626967402,23.1536,-81.2514
433,lazurne,,,300.4,54,83,9.63,UA,1626967402,46.084,32.5295
434,florianopolis,,,293.78,67,0,3.09,BR,1626967182,-27.6146,-48.5012
435,kuche,,,,,,,,,,
436,aurdal,,,299.88,30,15,1.67,NO,1626967402,60.9242,9.4159
437,susangerd,,,320.16,8,0,10.4,IR,1626967403,31.5608,48.1831
438,dubna,,,294.27,40,88,3.2,RU,1626967403,56.7333,37.1667
439,port shepstone,,,289.44,36,1,12.19,ZA,1626967403,-30.7414,30.455
440,krutinka,,,295.96,64,16,4.45,RU,1626967404,56.0055,71.5113
441,porto santo,,,298.36,73,20,7.2,PT,1626967404,33.072,-16.3415
442,dolores hidalgo,,,291.4,77,97,3.18,MX,1626967404,21.1561,-100.9308
443,swidwin,,,296.12,44,73,2.78,PL,1626967405,53.7746,15.7767
444,bronnoysund,,,285.44,87,75,4.12,NO,1626967405,65.4625,12.1997
445,muroto,,,298.6,87,100,5.69,JP,1626967405,33.2833,134.15
446,turtas,,,295.15,75,99,1.82,RU,1626967406,58.9417,69.1325
447,maslovskiy,,,,,,,,,,
448,haines junction,,,283.12,76,94,1.54,CA,1626967406,60.7522,-137.5108
449,segou,,,307.78,39,99,2.81,ML,1626967406,13.4317,-6.2157
450,cockburn town,,,303.13,66,40,7.2,TC,1626967406,21.4612,-71.1419
451,saint-pierre,,,293.97,74,0,2.06,RE,1626967407,-21.3393,55.4781
452,devonport,,,284.81,64,100,6.6,AU,1626967407,-41.1667,146.35
453,nizwa,,,300.75,64,100,3.03,OM,1626967407,22.9333,57.5333
454,del rio,,,301.61,70,1,4.63,US,1626967408,29.3627,-100.8968
455,tazovskiy,,,288.31,64,2,3.36,RU,1626967408,67.4667,78.7
456,acarau,,,304.6,49,84,7.23,BR,1626967408,-2.8856,-40.12
457,tyukhtet,,,290.9,71,45,2.31,RU,1626967409,56.5389,89.3011
458,port hardy,,,286.25,94,75,1.03,CA,1626967409,50.6996,-127.4199
459,abu samrah,,,306,35,0,8.56,SY,1626967409,35.3029,37.1841
460,sampit,,,296.61,87,98,1.24,ID,1626967409,-2.5333,112.95
461,isangel,,,296.37,88,99,4.21,VU,1626967410,-19.55,169.2667
462,padang,,,298.8,84,46,1.3,ID,1626967410,-0.9492,100.3543
463,burica,,,,,,,,,,
464,rathcoole,,,302.4,56,0,5.14,IE,1626967410,53.2828,-6.4728
465,agirish,,,288.28,89,100,1.47,RU,1626967411,61.9247,63.0231
466,nichinan,,,298.17,92,100,5.77,JP,1626967411,31.6,131.3667
467,mayumba,,,296.84,76,96,3.95,GA,1626967411,-3.432,10.6554
468,bridlington,,,300.16,80,3,4.43,GB,1626967411,54.0831,-0.1919
469,we,,,,,,,,,,
470,terryville,,,299.86,64,40,1.34,US,1626967412,40.909,-73.0651
471,deputatskiy,,,281.25,83,70,1,RU,1626967412,69.3,139.9
472,egvekinot,,,276.77,91,96,1.72,RU,1626967412,66.3167,-179.1667
473,lakatoro,,,298.35,85,61,1.89,VU,1626967413,-16.0999,167.4164
474,maarianhamina,,,295.07,43,0,2.57,AX,1626967413,60.0973,19.9348
475,kahului,,,297.16,83,20,6.17,US,1626967413,20.8947,-156.47
476,kasongo-lunda,,,308.17,13,45,2.41,CD,1626967414,-6.4667,16.8167
477,gushikawa,,,300.15,94,75,10.29,JP,1626967414,26.3544,127.8686
478,nikolayevsk-na-amure,,,293.63,94,13,0.41,RU,1626967414,53.1406,140.73
479,vastervik,,,,,,,,,,
480,paralimni,,,308.42,82,0,5.36,CY,1626967414,35.0375,33.9833
481,abilene,,,301.42,65,1,0.45,US,1626967415,32.4487,-99.7331
482,lagoa,,,292.77,75,50,5.74,PT,1626967415,39.05,-27.9833
483,along,,,298.95,88,8,0.78,IN,1626967415,28.1667,94.7667
484,hami,,,309.07,14,28,4.59,CN,1626967416,42.8,93.45
485,rolla,,,300.96,69,1,1.34,US,1626967416,37.9514,-91.7713
486,moissala,,,298.23,79,100,2.89,TD,1626967416,8.3404,17.7663
487,sikeston,,,301.09,71,1,2.2,US,1626967417,36.8767,-89.5879
488,menongue,,,299.63,9,40,4.49,AO,1626967417,-14.6585,17.691
489,griffith,,,298.7,75,90,0.89,US,1626967277,41.5284,-87.4237
490,sentyabrskiy,,,,,,,,,,
491,yerbogachen,,,288.87,81,100,2.08,RU,1626967417,61.2767,108.0108
492,yarim,,,287.84,87,89,3.45,YE,1626967418,14.298,44.3779
493,khor,,,297.38,77,90,1.86,RU,1626967418,47.8861,134.9464
494,roma,,,296.96,67,1,0.45,US,1626967418,43.2128,-75.4557
495,bodden town,,,304.26,75,20,2.24,KY,1626967418,19.2833,-81.25
496,rawson,,,286.54,41,100,3.64,AR,1626967419,-43.3002,-65.1023
497,taltal,,,290.26,62,17,2.12,CL,1626967306,-25.4,-70.4833
498,husavik,,,294.1,67,19,2.75,IS,1626967419,66.0449,-17.3389
499,manaure,,,304.46,53,12,12.38,CO,1626967419,11.7751,-72.4445
500,goose creek,,,304.2,77,75,0.89,US,1626967420,32.981,-80.0326
501,albion,,,297.03,59,1,2.06,US,1626967420,42.2431,-84.753
502,nimbahera,,,298.15,85,100,6.91,IN,1626967420,24.6167,74.6833
503,beringovskiy,,,281.49,88,33,2.28,RU,1626967421,63.05,179.3167
504,liepaja,,,295.18,68,5,7.2,LV,1626967421,56.5419,21.0367
505,victor harbor,,,282.15,93,100,3.08,AU,1626967421,-35.5667,138.6167
506,barcelos,,,294.73,58,11,3.88,PT,1626967421,41.5388,-8.6151
507,andevoranto,,,,,,,,,,
508,puerto del rosario,,,300.01,54,20,9.77,ES,1626967422,28.5004,-13.8627
509,dakar,,,304.64,77,26,7.39,SN,1626966841,14.6937,-17.4441
510,radstadt,,,300.73,50,10,2.9,AT,1626967422,47.3833,13.45
511,hualmay,,,291.97,75,41,3.98,PE,1626967422,-11.0964,-77.6139
512,deogarh,,,301.72,81,100,0.65,IN,1626967423,21.5333,84.7333
513,digha,,,302.01,84,43,3.79,IN,1626967423,21.6833,87.55
514,mahibadhoo,,,301.3,76,99,6.25,MV,1626967423,3.7833,72.9667
515,fairbanks,,,290.88,72,75,1.54,US,1626967231,64.8378,-147.7164
516,tocopilla,,,292.42,60,14,2.7,CL,1626967424,-22.092,-70.1979
517,malakal,,,300.38,79,100,1.34,SS,1626967424,9.5334,31.6605
518,kidal,,,312.23,22,19,3.64,ML,1626967424,18.4411,1.4078
519,toulepleu,,,,,,,,,,
520,waipawa,,,282.5,85,100,4.42,NZ,1626967425,-41.4122,175.5153
521,xam nua,,,293.9,98,100,1.43,LA,1626967425,20.4197,104.0439
522,kommunar,,,293.17,42,92,5.75,RU,1626967425,59.6206,30.39
523,port lincoln,,,284.5,86,90,3.94,AU,1626967425,-34.7333,135.8667
524,kandi,,,305.42,44,94,2.24,BJ,1626967426,11.1342,2.9386
525,plettenberg bay,,,282.57,79,100,5.55,ZA,1626967426,-34.0527,23.3716
526,hambantota,,,300.29,77,100,9.23,LK,1626967426,6.1241,81.1185
527,surt,,,301.23,62,0,6.88,LY,1626967426,31.2089,16.5887
528,half moon bay,,,292.39,83,20,0,US,1626967415,37.4636,-122.4286
529,kyabram,,,279.75,95,100,4.15,AU,1626967427,-36.3167,145.05
530,zeya,,,295.62,96,100,1.6,RU,1626967427,53.75,127.2667
531,ardabil,,,297.9,50,0,8.75,IR,1626967266,38.2498,48.2933
532,ahuimanu,,,298.99,69,75,4.63,US,1626967428,21.4447,-157.8378
533,huambo,,,298.15,9,5,4.62,AO,1626967232,-12.7761,15.7392
534,dalbandin,,,310.24,8,0,3.92,PK,1626967428,28.8947,64.4101
535,iluppur,,,302.79,47,99,6.9,IN,1626967428,10.5135,78.6236
536,dogondoutchi,,,308.3,36,88,2.95,NE,1626967429,13.6393,4.0287
537,manta,,,298.62,69,37,2.15,EC,1626967208,-0.95,-80.7333
538,kimbe,,,297.55,93,100,1.96,PG,1626967429,-5.5502,150.1429
539,waitati,,,278.6,69,0,1.77,NZ,1626967429,-45.75,170.5667
540,gvardeyskoye,,,306.51,89,100,3.73,RU,1626967429,43.6731,44.9589
541,derzhavinsk,,,301.16,36,0,3.93,KZ,1626967430,51.1,66.3167
542,faya,,,293.21,89,90,4.91,SA,1626967430,18.3851,42.4509
543,seravezza,,,306.64,74,4,2.79,IT,1626967430,43.995,10.2287
544,beloha,,,295.13,69,34,3.4,MG,1626967431,-25.1667,45.05
545,kaabong,,,295.23,67,100,1.26,UG,1626967431,3.4836,34.1492
546,kuryk,,,306.88,33,98,4.13,KZ,1626967431,43.2,51.65
547,qasigiannguit,,,285.29,76,100,2.14,GL,1626967431,68.8193,-51.1922
548,dossor,,,310.37,18,70,5.8,KZ,1626967432,47.5272,52.9811
549,sri aman,,,298.18,94,85,0,MY,1626967432,1.2376,111.4621
550,goderich,,,295.49,73,27,2.57,CA,1626967432,43.7501,-81.7165
551,uyuni,,,282.62,17,0,1.18,BO,1626967433,-20.4597,-66.825
552,lydenburg,,,288.3,14,0,2.91,ZA,1626967433,-25.0978,30.4597
553,longlac,,,,,,,,,,
554,westport,,,300.02,55,1,0.89,US,1626967403,41.1415,-73.3579
555,almaznyy,,,300.23,76,98,5.82,RU,1626967433,48.0448,40.045
556,besenyotelek,,,299.03,45,100,1.37,HU,1626967434,47.7,20.4333
557,palimbang,,,298.95,87,87,0.86,PH,1626967434,6.2106,124.1894
558,tvoroyri,,,285.81,93,16,2.8,FO,1626967434,61.5556,-6.8111
559,wajir,,,305.87,32,28,9.56,KE,1626967434,1.7471,40.0573
560,innisfail,,,290.1,80,16,1.55,AU,1626967435,-17.5333,146.0333
561,emerald,,,283.9,50,0,4.55,AU,1626967435,-23.5333,148.1667
562,kholodnyy,,,287.1,97,100,2.18,RU,1626967435,62.7167,147.95
563,agadir,,,300.4,41,23,3.55,MA,1626967436,30.4202,-9.5982
564,xique-xique,,,300.57,48,29,6.66,BR,1626967436,-10.8218,-42.7263
565,portree,,,293.95,63,48,1.95,GB,1626967436,57.4129,-6.1942
566,grand gaube,,,295.37,63,19,3.58,MU,1626967436,-20.0064,57.6608
567,sesheke,,,298.64,11,0,4.03,ZM,1626967437,-17.4759,24.2968
568,igra,,,287.35,97,100,3.06,RU,1626967437,57.5558,53.0547
569,yuancheng,,,295.23,79,98,6.02,CN,1626967437,36.652,107.7896
570,santiago,,,297.75,36,100,0,CL,1626966925,-33.4569,-70.6483
571,kloulklubed,,,301.43,75,76,7.44,PW,1626967438,7.0419,134.2556
572,farmington,,,299.32,51,1,2.06,US,1626967438,36.7281,-108.2187
573,baykit,,,290.18,68,91,0.79,RU,1626967438,61.67,96.37
574,bandar,,,298.36,81,97,1.26,ID,1626967399,2.05,99.75
575,daru,,,298,79,100,6.1,PG,1626967438,-9.0763,143.2092
576,bratsk,,,289.42,67,42,1.64,RU,1626967439,56.1325,101.6142
577,karuzi,,,299.35,30,1,2.56,BI,1626967439,-3.125,30.1333
578,bur gabo,,,,,,,,,,
579,tuatapere,,,278.61,89,4,2.24,NZ,1626967323,-46.1333,167.6833
580,skjervoy,,,281.25,88,100,6.73,NO,1626967439,70.0311,20.9714
581,kieta,,,299.05,87,99,1.35,PG,1626967440,-6.2167,155.6333
582,makhu,,,303.9,66,98,4.37,IN,1626967440,31.1033,74.9978
583,coron,,,299.77,87,100,6.82,PH,1626967440,11.9986,120.2043
584,saint-joseph,,,293.36,73,63,4.53,RE,1626967441,-21.3667,55.6167
585,neutraubling,,,300.37,47,9,1.57,DE,1626967441,48.9833,12.2
586,jalu,,,308.9,22,3,5.95,LY,1626967441,29.0331,21.5482
587,rorvik,,,284.14,79,100,8.64,NO,1626967442,64.8621,11.2373
588,ishikari,,,294.41,95,69,4.49,JP,1626967442,43.2397,141.3539
589,nantucket,,,297.21,71,20,7.2,US,1626967294,41.2835,-70.0995
590,porto torres,,,304.25,52,0,3.55,IT,1626967442,40.835,8.3972
591,harper,,,299.93,70,77,5.05,LR,1626967443,4.375,-7.7169
592,garbolovo,,,292.98,59,99,4.8,RU,1626967443,60.3413,30.4955
593,sabaudia,,,309.2,67,1,6.3,IT,1626967443,41.3003,13.0282
594,pisco,,,289.83,82,90,3.09,PE,1626967443,-13.7,-76.2167
595,bac lieu,,,300.48,82,100,4.48,VN,1626967444,9.285,105.7244
596,donghai,,,300.51,77,88,2.53,CN,1626967444,22.9459,115.642
597,cabatuan,,,298.36,84,100,4.46,PH,1626967444,10.8794,122.486
598,volokolamsk,,,293.85,44,44,3.91,RU,1626967445,56.0336,35.9694
599,caconda,,,298.97,8,43,5.1,AO,1626967445,-13.7333,15.0667
600,alice springs,,,289.9,31,9,2.57,AU,1626967284,-23.7,133.8833
601,haverhill,,,299.15,58,1,1.34,US,1626967353,42.7762,-71.0773
602,coahuayana,,,302.86,76,100,0.91,MX,1626967445,18.7333,-103.6833
603,viterbo,,,308.25,29,42,5.94,IT,1626967446,42.4167,12.0833
604,baherden,,,311.24,11,1,3.72,TM,1626967446,38.4362,57.4316
605,asahi,,,300.48,85,93,2.27,JP,1626967446,35.7167,140.65
606,mrirt,,,,,,,,,,
607,kudahuvadhoo,,,301.13,74,96,5.13,MV,1626967274,2.6708,72.8944
608,sisophon,,,298.25,86,100,3.45,KH,1626967447,13.5859,102.9737
609,powell,,,297.15,59,1,0.89,US,1626967447,40.1578,-83.0752
